port_transport_number;port;transport;transport_number;service_name;description
0_1;0;icmp;1;;Reserved
0_6;0;tcp;6;;Reserved
0_17;0;udp;17;;Reserved
1_6;1;tcp;6;tcpmux;TCP Port Service Multiplexer
1_17;1;udp;17;tcpmux;TCP Port Service Multiplexer
2_6;2;tcp;6;compressnet;Management Utility
2_17;2;udp;17;compressnet;Management Utility
3_6;3;tcp;6;compressnet;Compression Process
3_17;3;udp;17;compressnet;Compression Process
5_6;5;tcp;6;rje;Remote Job Entry
5_17;5;udp;17;rje;Remote Job Entry
7_6;7;tcp;6;echo;Echo
7_17;7;udp;17;echo;Echo
9_6;9;tcp;6;discard;Discard
9_17;9;udp;17;discard;Discard
9_132;9;sctp;132;discard;Discard
9_33;9;dccp;33;discard;Discard
11_6;11;tcp;6;systat;Active Users
11_17;11;udp;17;systat;Active Users
13_6;13;tcp;6;daytime;Daytime
13_17;13;udp;17;daytime;Daytime
15_6;15;tcp;6;;Unassigned [was netstat]
17_6;17;tcp;6;qotd;Quote of the Day
17_17;17;udp;17;qotd;Quote of the Day
18_6;18;tcp;6;msp;Message Send Protocol (historic)
18_17;18;udp;17;msp;Message Send Protocol (historic)
19_6;19;tcp;6;chargen;Character Generator
19_17;19;udp;17;chargen;Character Generator
20_6;20;tcp;6;ftp-data;File Transfer [Default Data]
20_17;20;udp;17;ftp-data;File Transfer [Default Data]
20_132;20;sctp;132;ftp-data;FTP
21_6;21;tcp;6;ftp;File Transfer Protocol [Control]
21_17;21;udp;17;ftp;File Transfer Protocol [Control]
21_132;21;sctp;132;ftp;FTP
22_6;22;tcp;6;ssh;The Secure Shell (SSH) Protocol
22_17;22;udp;17;ssh;The Secure Shell (SSH) Protocol
22_132;22;sctp;132;ssh;SSH
23_6;23;tcp;6;telnet;Telnet
23_17;23;udp;17;telnet;Telnet
24_6;24;tcp;6;;any private mail system
24_17;24;udp;17;;any private mail system
25_6;25;tcp;6;smtp;Simple Mail Transfer
25_17;25;udp;17;smtp;Simple Mail Transfer
27_6;27;tcp;6;nsw-fe;NSW User System FE
27_17;27;udp;17;nsw-fe;NSW User System FE
29_6;29;tcp;6;msg-icp;MSG ICP
29_17;29;udp;17;msg-icp;MSG ICP
31_6;31;tcp;6;msg-auth;MSG Authentication
31_17;31;udp;17;msg-auth;MSG Authentication
33_6;33;tcp;6;dsp;Display Support Protocol
33_17;33;udp;17;dsp;Display Support Protocol
35_6;35;tcp;6;;any private printer server
35_17;35;udp;17;;any private printer server
37_6;37;tcp;6;time;Time
37_17;37;udp;17;time;Time
38_6;38;tcp;6;rap;Route Access Protocol
38_17;38;udp;17;rap;Route Access Protocol
39_6;39;tcp;6;rlp;Resource Location Protocol
39_17;39;udp;17;rlp;Resource Location Protocol
41_6;41;tcp;6;graphics;Graphics
41_17;41;udp;17;graphics;Graphics
43_6;43;tcp;6;nicname;Who Is
43_17;43;udp;17;nicname;Who Is
44_6;44;tcp;6;mpm-flags;MPM FLAGS Protocol
44_17;44;udp;17;mpm-flags;MPM FLAGS Protocol
45_6;45;tcp;6;mpm;Message Processing Module [recv]
45_17;45;udp;17;mpm;Message Processing Module [recv]
46_6;46;tcp;6;mpm-snd;MPM [default send]
46_17;46;udp;17;mpm-snd;MPM [default send]
47_6;47;tcp;6;;Reserved
47_17;47;udp;17;;Reserved
48_6;48;tcp;6;auditd;Digital Audit Daemon
48_17;48;udp;17;auditd;Digital Audit Daemon
49_6;49;tcp;6;tacacs;Login Host Protocol (TACACS)
49_17;49;udp;17;tacacs;Login Host Protocol (TACACS)
50_6;50;tcp;6;re-mail-ck;Remote Mail Checking Protocol
50_17;50;udp;17;re-mail-ck;Remote Mail Checking Protocol
52_6;52;tcp;6;xns-time;XNS Time Protocol
52_17;52;udp;17;xns-time;XNS Time Protocol
53_6;53;tcp;6;domain;Domain Name Server
53_17;53;udp;17;domain;Domain Name Server
54_6;54;tcp;6;xns-ch;XNS Clearinghouse
54_17;54;udp;17;xns-ch;XNS Clearinghouse
55_6;55;tcp;6;isi-gl;ISI Graphics Language
55_17;55;udp;17;isi-gl;ISI Graphics Language
56_6;56;tcp;6;xns-auth;XNS Authentication
56_17;56;udp;17;xns-auth;XNS Authentication
57_6;57;tcp;6;;any private terminal access
57_17;57;udp;17;;any private terminal access
58_6;58;tcp;6;xns-mail;XNS Mail
58_17;58;udp;17;xns-mail;XNS Mail
59_6;59;tcp;6;;any private file service
59_17;59;udp;17;;any private file service
61_6;61;tcp;6;;Reserved
61_17;61;udp;17;;Reserved
62_6;62;tcp;6;acas;ACA Services
62_17;62;udp;17;acas;ACA Services
63_6;63;tcp;6;whoispp;"whois++ IANA assigned this well-formed service name as a replacement for ""whois++""."
63_17;63;udp;17;whoispp;"whois++ IANA assigned this well-formed service name as a replacement for ""whois++""."
64_6;64;tcp;6;covia;Communications Integrator (CI)
64_17;64;udp;17;covia;Communications Integrator (CI)
65_6;65;tcp;6;tacacs-ds;TACACS-Database Service
65_17;65;udp;17;tacacs-ds;TACACS-Database Service
66_17;66;udp;17;sql*net;Oracle SQL*NET
67_6;67;tcp;6;bootps;Bootstrap Protocol Server
67_17;67;udp;17;bootps;Bootstrap Protocol Server
68_6;68;tcp;6;bootpc;Bootstrap Protocol Client
68_17;68;udp;17;bootpc;Bootstrap Protocol Client
69_6;69;tcp;6;tftp;Trivial File Transfer
69_17;69;udp;17;tftp;Trivial File Transfer
70_6;70;tcp;6;gopher;Gopher
70_17;70;udp;17;gopher;Gopher
71_6;71;tcp;6;netrjs-1;Remote Job Service
71_17;71;udp;17;netrjs-1;Remote Job Service
72_6;72;tcp;6;netrjs-2;Remote Job Service
72_17;72;udp;17;netrjs-2;Remote Job Service
73_6;73;tcp;6;netrjs-3;Remote Job Service
73_17;73;udp;17;netrjs-3;Remote Job Service
74_6;74;tcp;6;netrjs-4;Remote Job Service
74_17;74;udp;17;netrjs-4;Remote Job Service
75_6;75;tcp;6;;any private dial out service
75_17;75;udp;17;;any private dial out service
76_6;76;tcp;6;deos;Distributed External Object Store
76_17;76;udp;17;deos;Distributed External Object Store
77_6;77;tcp;6;;any private RJE service
77_17;77;udp;17;;any private RJE service
78_6;78;tcp;6;vettcp;vettcp
78_17;78;udp;17;vettcp;vettcp
79_6;79;tcp;6;finger;Finger
79_17;79;udp;17;finger;Finger
80_6;80;tcp;6;http;World Wide Web HTTP
80_17;80;udp;17;http;World Wide Web HTTP
80_132;80;sctp;132;http;HTTP
82_6;82;tcp;6;xfer;XFER Utility
82_17;82;udp;17;xfer;XFER Utility
83_6;83;tcp;6;mit-ml-dev;MIT ML Device
83_17;83;udp;17;mit-ml-dev;MIT ML Device
84_6;84;tcp;6;ctf;Common Trace Facility
84_17;84;udp;17;ctf;Common Trace Facility
85_6;85;tcp;6;mit-ml-dev;MIT ML Device
85_17;85;udp;17;mit-ml-dev;MIT ML Device
86_6;86;tcp;6;mfcobol;Micro Focus Cobol
86_17;86;udp;17;mfcobol;Micro Focus Cobol
87_6;87;tcp;6;;any private terminal link
87_17;87;udp;17;;any private terminal link
88_6;88;tcp;6;kerberos;Kerberos
88_17;88;udp;17;kerberos;Kerberos
89_6;89;tcp;6;su-mit-tg;SU/MIT Telnet Gateway
89_17;89;udp;17;su-mit-tg;SU/MIT Telnet Gateway
90_6;90;tcp;6;dnsix;DNSIX Securit Attribute Token Map
90_17;90;udp;17;dnsix;DNSIX Securit Attribute Token Map
91_6;91;tcp;6;mit-dov;MIT Dover Spooler
91_17;91;udp;17;mit-dov;MIT Dover Spooler
92_6;92;tcp;6;npp;Network Printing Protocol
92_17;92;udp;17;npp;Network Printing Protocol
93_6;93;tcp;6;dcp;Device Control Protocol
93_17;93;udp;17;dcp;Device Control Protocol
94_6;94;tcp;6;objcall;Tivoli Object Dispatcher
94_17;94;udp;17;objcall;Tivoli Object Dispatcher
95_6;95;tcp;6;supdup;SUPDUP
95_17;95;udp;17;supdup;SUPDUP
96_6;96;tcp;6;dixie;DIXIE Protocol Specification
96_17;96;udp;17;dixie;DIXIE Protocol Specification
97_6;97;tcp;6;swift-rvf;Swift Remote Virtural File Protocol
97_17;97;udp;17;swift-rvf;Swift Remote Virtural File Protocol
98_6;98;tcp;6;tacnews;TAC News
98_17;98;udp;17;tacnews;TAC News
99_6;99;tcp;6;metagram;Metagram Relay
99_17;99;udp;17;metagram;Metagram Relay
101_6;101;tcp;6;hostname;NIC Host Name Server
